zip,city,,
98002,South KC,,
98092,South KC,,
98224,East Side,,
98004,Bellevue,,
98005,Bellevue,,
98006,Bellevue,,
98007,Bellevue,,
98008,Bellevue,,
98010,East Side,,
98011,North KC,,
98178,Renton,,
98148,Burien,,
98166,Burien,,
98014,East Side,,
98077,North KC,,
98042,South KC,,
98198,South KC,,
98019,East Side,,
98031,South KC,,
98022,South KC,,
98058,South KC,,
98024,East Side,,
98003,Federal Way,,
98023,Federal Way,,
98027,East Side,,
98029,East Side,,
98028,North KC,,
98032,Kent,,
98030,Kent,,
98033,Kirkland,,
98034,Kirkland,,
98001,South KC,,
98038,East Side,,
98039,Medina,,
98040,Mercer Island,,
98045,East Side,,
98047,South KC,,
98050,East Side,,
98051,South KC,,
98052,East Side,,
98055,Renton,,
98056,Renton,,
98057,Renton,,
98059,Renton,,
98074,Sammamish,,
98075,Sammamish,,
98188,South KC,,
98199,Seattle,,
98174,Seattle,,
98154,Seattle,,
98158,Seattle,,
98164,Seattle,,
98101,Seattle,,
98102,Seattle,,
98103,N Seattle,,
98104,Seattle,,
98105,N Seattle,,
98106,W Seattle,,
98107,N Seattle,,
98108,Seattle,,
98109,Seattle,,
98112,Seattle,,
98115,N Seattle,,
98116,W Seattle,,
98117,N Seattle,,
98118,Seattle,,
98119,Seattle,,
98121,Seattle,,
98122,Seattle,,
98125,N Seattle,,
98126,W Seattle,,
98133,N Seattle,,
98134,Seattle,,
98136,W Seattle,,
98144,Seattle,,
98155,North KC,,
98177,North KC,,
98288,East Side,,
98065,East Side,,
98168,South KC,,
98053,East Side,,
98195,N Seattle,,
98070,Vashon,,
98146,South KC,,
98072,North KC,,
